itemNumber,price,freightCost/surcharge,"eligibility
(Promotion Restriction)",category,brand,image,Minimum Retail Quantity,Instock Qty,Shipping_date,date
G802282236,40.65,0,YES,Food Service & Restaurant Supplies / Food Serving Equipment / Food Service Appliance Parts,Traulsen,Allpoints Foodservice Parts and Supplies LLC_441440xxa02c1e.jpg,1,600,1,2024-08-22 14:39:03
G9066976,1368.99,170,YES,"Power Transmission / Compressors, Air Tanks & Pneumatic Parts / Air Compressors / Portable Electric Air Compressors",Rolair,Z0t2LzocpEx_.JPG,1,13,1,2024-08-22 15:07:56
G5676781,35.29,18,NO,"Storage & Workspace / Storage Bins, Boxes & Totes / Pallets",Zoro Select,Z2IG90fo5oy.JPG,3,136,1,2024-08-22 15:08:49
G1690053,20.95,0,YES,Heating & Cooling / HVACR and Appliance Controls / Cooling Equipment Relays,Supco,Z17LJxfo5oy.JPG,1,600,1,2024-08-22 14:39:03
G0607485,33.55,0,NO,Electrical Supplies / Industrial Control & Automation / Electrical Relays / Plug-In Relays,Dayton,Z_05J0fo5oy.JPG,1,0,1,2024-08-22 14:39:10
G4380518,30.45,0,YES,Abrasives & Polishers / Abrasive Brushes / Wire End Brushes,Walter Surface Technologies,Z-ttKzocpIx_.JPG,1,30,2,2024-08-22 14:39:03
G0844383,11.89,0,YES,Fasteners / Screws & Bolts / Tamper-Resistant Screws,Tamper-Pruf Screws,Z373uzfo5oy.JPG,1,124,1,2024-08-22 14:39:04
G2535793,13.55,0,YES,Tools & Machining / Workholding & Machine Tool Accessories / Hand Knobs and Wheels / Levers & Handles,Kipp,Z024H0fo5oy.JPG,1,26,1,2024-08-22 14:39:04
G8497176,3.59,0,YES,Heating & Cooling / Fans / Axial Fans and Accessories,Dayton,Z0p1_zmcpEx-.JPG,1,600,1,2024-08-22 14:39:06
G1652822,21.89,0,NO,Electrical Supplies / Industrial Control & Automation / Electrical Relays / Plug-In Relays,Dayton,Z2Jzqyfo5oy.JPG,1,0,1,2024-08-22 14:39:10
G1932332,5.49,0,YES,Electrical Supplies / Conduit & Raceways / Raceways / Raceway Fittings,Panduit,Z2LLJyfo5oy.JPG,1,0,1,2024-08-22 14:39:14
G4278102,14.29,0,NO,"Welding, Soldering & Brazing / Solders & Supplies / Soldering Accessories",Techspray,Z0527zfo5oy.JPG,1,174,1,2024-08-22 14:40:06
G2692575,29.99,0,NO,Hardware & Building Materials / Cabinet & Drawer Hardware / Cabinet Handles & Pulls,Monroe Pmp,Z17-D_fo5oy.JPG,1,150,1,2024-08-22 14:40:12
G801861203,16.13,0,YES,Hardware & Building Materials / Door Hardware & Components / Door Hinges / Butt Hinges,Global Door Controls,Imperial USA Ltd_CP4545xxBBNRPxxUSPxx3xxmainxximagexx6d85a9.jpeg,1,338,2,2024-08-22 14:53:24
G3195707,3.55,0,YES,Heating & Cooling / HVACR and Appliance Controls / Thermostats / Line Voltage Thermostats,Intermatic,Z-ss2tncpEx_.JPG,3,600,6,2024-08-22 14:53:24
G2113181,394.99,0,YES,Lab Equipment & Supplies / Lab Equipment / Lab Stands & Supports / Lab Stands,Ohaus,Z1ovD-icpEx_.JPG,1,0,6,2024-08-22 15:01:35
G3195707,3.55,0,YES,Heating & Cooling / HVACR and Appliance Controls / Thermostats / Line Voltage Thermostats,Intermatic,Z-ss2tncpEx_.JPG,3,600,6,2024-08-22 13:55:04
G0464156,17.79,0,YES,Electrical / Fuses,EATON BUSSMANN,Z1oA2yqcpEx_.JPG,1,0,1,2024-08-22 14:53:24
G3327134,100.99,0,YES,Electrical / Plugs and Receptacles,HUBBELL,Z3_srvfo5o_.JPG,1,0,1,2024-08-22 14:53:24
