Practice Name,Full Address,Name of Building,Street,City,State,Postcode,Website
Mascot Family Dental,"['1165 Botany Rd', 'MASCOT NSW  2020', 'AUSTRALIA']",N/a,1165 Botany Rd,MASCOT,NSW,2020,
Mascot Dental Centre,"['934 Botany Rd', 'MASCOT NSW  2020', 'AUSTRALIA']",N/a,934 Botany Rd,MASCOT,NSW,2020,mascotdentalcentre.com.au
All Day All Night Dental/ Mascot,"['1143 Botany Rd', 'MASCOT NSW  2020', 'AUSTRALIA']",N/a,1143 Botany Rd,MASCOT,NSW,2020,emergencydental.com.au
Dr Irene Bomba,"['11 Sturt St', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,11 Sturt St,KINGSFORD,NSW,2032,
Kingsford Family Dental Centre,"['L 1  363 Anzac Pde', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,L 1  363 Anzac Pde,KINGSFORD,NSW,2032,kingsforddental.com.au
Mascot Dental Clinic,"['Shop 3/244 Coward St', 'MASCOT NSW  2020', 'AUSTRALIA']",N/a,Shop 3/244 Coward St,MASCOT,NSW,2020,mascotdentalclinic.com.au
Hii Dental Services,"['Unit 1  339 Anzac Pde', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,Unit 1  339 Anzac Pde,KINGSFORD,NSW,2032,
Dental On Houston,"['97 Houston Rd', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,97 Houston Rd,KINGSFORD,NSW,2032,
Gs Dental Centre,"['68 Houston Rd', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,68 Houston Rd,KINGSFORD,NSW,2032,
Dentocare,"['1A Meeks St', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,1A Meeks St,KINGSFORD,NSW,2032,
Kingsford Dental,"['1a Meeks St', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,1a Meeks St,KINGSFORD,NSW,2032,kingsforddental.com
Rosebery Dental,"['350 Gardeners Rd', 'ROSEBERY NSW  2018', 'AUSTRALIA']",N/a,350 Gardeners Rd,ROSEBERY,NSW,2018,roseberydental.com.au
Alpha Health Clinic,"['Shop 2  668 Botany Rd', 'ALEXANDRIA NSW  2015', 'AUSTRALIA']",N/a,Shop 2  668 Botany Rd,ALEXANDRIA,NSW,2015,alphadentalclinic.com.au
Delight Dental Spa,"['Shop 8 673 Gardeners Rd', 'MASCOT NSW  2020', 'AUSTRALIA']",N/a,Shop 8 673 Gardeners Rd,MASCOT,NSW,2020,
The University of New South Wales - Dental Clinic,"['330 Anzac Pde', 'KENSINGTON NSW  2033', 'AUSTRALIA']",N/a,330 Anzac Pde,KENSINGTON,NSW,2033,universitydental.com.au
Clinical Stem Cells,"['Unit 33/34-36 Ralph St', 'ALEXANDRIA NSW  2015', 'AUSTRALIA']",N/a,Unit 33/34-36 Ralph St,ALEXANDRIA,NSW,2015,
Southern Cross Dental,"['Building 6, 190 Bourke Road', 'Sydney Corporate Park', 'ALEXANDRIA NSW  2015', 'AUSTRALIA']","Building 6, 190 Bourke Road",Sydney Corporate Park,ALEXANDRIA,NSW,2015,
Dr Sylvia Boyages,"['32 Eastern Ave', 'KINGSFORD NSW  2032', 'AUSTRALIA']",N/a,32 Eastern Ave,KINGSFORD,NSW,2032,
Healthy Smile Centre,"['Unit 2r 57 Rothschild Ave', 'ROSEBERY NSW  2018', 'AUSTRALIA']",N/a,Unit 2r 57 Rothschild Ave,ROSEBERY,NSW,2018,healthysmilecentre.com.au
BUPA Dental Kensington,"['115 Doncaster Ave', 'KENSINGTON NSW  2033', 'AUSTRALIA']",N/a,115 Doncaster Ave,KENSINGTON,NSW,2033,bupadental.com.au
Mobile Dental Services,"['87 - 103 Epsom Rd', 'ROSEBERY NSW  2018', 'AUSTRALIA']",N/a,87 - 103 Epsom Rd,ROSEBERY,NSW,2018,
Marrickville Dental Health Centre,"['Shop 3 / 198 Marrickville Rd', 'MARRICKVILLE NSW  2204', 'AUSTRALIA']",N/a,Shop 3 / 198 Marrickville Rd,MARRICKVILLE,NSW,2204,holisticdentalcentre.com.au
Dr G Giuffre,"['230 Marrickville Rd', 'MARRICKVILLE NSW  2204', 'AUSTRALIA']",N/a,230 Marrickville Rd,MARRICKVILLE,NSW,2204,
Sydney Specialist Dental Group,"['78 Princes Highway', 'ST PETERS NSW  2044', 'AUSTRALIA']",N/a,78 Princes Highway,ST,PETERS,2044,
